銘柄情報,銘柄名,銘柄コード,国名コード,種別,取引値
取引日,単価,購入数,売却数,手数料,配当･分配,税,コメント
DEFINE,日本たばこ産業,2914,JP,株式(現物),4471.0000,http://www.jti.co.jp/investors/index.html
2011/12/30,1810.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,2440.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,3420.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,3328.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,4471.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,セブン&アイ・ホールディングス,3382,JP,株式(現物),5550.0000,http://www.7andi.com/ir/index.html
2011/12/30,2145.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,2437.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,4180.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,4358.5000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,5550.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,信越化学工業,4063,JP,株式(現物),6617.0000,http://www.shinetsu.co.jp/j/ir/index.shtml
2011/12/30,3790.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,5230.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,6140.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,7866.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,6617.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,武田薬品工業,4502,JP,株式(現物),6065.0000,http://www.takeda.co.jp/investor-information/
2011/12/30,3380.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,3855.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,4825.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,4996.5000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,6065.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,アステラス製薬,4503,JP,株式(現物),1731.5000,http://www.astellas.com/jp/ir/
2011/12/30,626.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,775.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,1246.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,1686.5000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,1731.5000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,日立製作所,6501,JP,株式(現物),691.5000,http://www.hitachi.co.jp/IR/index.html
2011/12/30,404.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,504.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,796.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,900.7000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,691.5000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,パナソニック,6752,JP,株式(現物),1240.5000,http://panasonic.co.jp/ir/
2011/12/30,654.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,522.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,1224.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,1427.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,1240.5000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,ソニー,6758,JP,株式(現物),3002.0000,http://www.sony.co.jp/SonyInfo/IR/
2011/12/30,1382.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,958.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,1826.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,2472.5000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,3002.0000,0.0000,0.0000,0.00,0.00,0.00,
