Item,Name,Code,Country,Type,Price
Date,Price,Bought,Sold,Charge,Dividend,Tax,Comment
DEFINE,Apple Inc.,AAPL,US,Stock:actual,105.2600,http://investor.apple.com
2011/12/30,57.8600,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,76.0200,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,80.1500,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,110.3800,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,105.2600,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,American Express Company Common,AXP,US,Stock:actual,69.5500,http://ir.americanexpress.com/
2011/12/30,47.1700,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,57.4800,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,90.7300,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,93.0400,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,69.5500,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Boeing Company (The) Common Sto,BA,US,Stock:actual,144.5900,http://www.boeing.com/companyoffices/financial/
2011/12/30,73.3500,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,75.3600,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,136.4900,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,129.9800,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,144.5900,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Caterpillar Inc. Common Stock,CAT,US,Stock:actual,67.9600,http://www.caterpillar.com/investors
2011/12/30,90.6000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,89.6100,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,90.8100,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,91.5300,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,67.9600,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Cisco Systems Inc.,CSCO,US,Stock:actual,27.1600,http://investor.cisco.com/
2011/12/30,18.0800,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,19.6500,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,22.4300,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,27.8200,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,27.1600,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Chevron Corporation Common Stoc,CVX,US,Stock:actual,89.9600,http://investor.chevron.com/
2011/12/30,106.4000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,108.1400,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,124.9100,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,112.1800,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,89.9600,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,E.I. du Pont de Nemours and Com,DD,US,Stock:actual,66.6000,http://www2.dupont.com/Investor_Center/en_US/
2011/12/30,45.7800,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,44.9800,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,64.9700,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,73.9400,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,66.6000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Walt Disney Company (The) Commo,DIS,US,Stock:actual,105.0800,http://corporate.disney.go.com/investors/
2011/12/30,37.5000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,49.7900,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,76.4000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,94.1900,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,105.0800,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,General Electric Company Common,GE,US,Stock:actual,31.1500,http://www.ge.com/investors/index.html
2011/12/30,17.9100,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,20.9900,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,28.0300,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,25.2700,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,31.1500,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,The Goldman Sachs Group Inc.,GS,US,Stock:actual,180.2300,http://www.goldmansachs.com/investor-relations/index.html
2011/12/30,88.0900,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,126.3100,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,177.2600,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,193.8300,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,180.2300,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Home Depot Inc. (The) Common S,HD,US,Stock:actual,132.2500,http://ir.homedepot.com/
2011/12/30,42.0400,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,61.8500,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,82.3400,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,104.9700,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,132.2500,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,International Business Machines,IBM,US,Stock:actual,137.6200,http://www.ibm.com/investor/
2011/12/30,183.8800,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,191.5500,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,187.5700,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,160.4400,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,137.6200,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Intel Corporation,INTC,US,Stock:actual,34.4500,http://www.intc.com/
2011/12/30,24.2500,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,20.6200,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,25.9600,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,36.2900,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,34.4500,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Johnson & Johnson Common Stock,JNJ,US,Stock:actual,102.7200,http://www.investor.jnj.com/textonly/investor-relations.cfm
2011/12/30,65.5800,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,70.1000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,91.5900,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,104.5700,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,102.7200,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,JP Morgan Chase & Co. Common St,JPM,US,Stock:actual,66.0300,http://investor.shareholder.com/jpmorganchase/
2011/12/30,33.2500,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,43.9700,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,58.4800,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,62.5800,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,66.0300,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Coca-Cola Company (The) Common,KO,US,Stock:actual,42.9600,http://www.thecoca-colacompany.com/investors/index.html
2011/12/30,34.9900,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,36.2500,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,41.3100,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,42.2200,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,42.9600,0.0000,0.0000,0.00,0.00,0.00,
