銘柄情報,銘柄名,銘柄コード,国名コード,種別,取引値
取引日,単価,購入数,売却数,手数料,配当･分配,税,コメント
DEFINE,オーストラリアドル,AUDJPY,JP,外貨,87.7636,http://
2011/12/30,78.5507,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,90.2009,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,93.8596,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,97.6627,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,87.7636,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,ブラジルレアル,BRLJPY,JP,外貨,30.3586,http://
2011/12/30,41.2727,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,42.2981,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,44.5860,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,45.0226,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,30.3586,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,カナダドル,CADJPY,JP,外貨,86.7393,http://
2011/12/30,75.3084,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,87.3627,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,99.0968,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,102.9331,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,86.7393,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,スイスフラン,CHFJPY,JP,外貨,120.0499,http://
2011/12/30,81.9693,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,94.3821,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,117.9507,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,120.3439,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,120.0499,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,人民元,CNYJPY,JP,外貨,18.5198,http://
2011/12/30,12.2212,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,13.9138,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,17.3978,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,19.2780,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,18.5198,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,ユーロ,EURJPY,JP,外貨,130.5748,http://
2011/12/30,99.5345,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,114.5955,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,144.7550,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,144.7528,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,130.5748,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,イギリスポンド,GBPJPY,JP,外貨,177.4037,http://
2011/12/30,119.4491,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,140.9493,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,174.2896,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,186.4339,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,177.4037,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,香港ドル,HKDJPY,JP,外貨,15.5205,http://
2011/12/30,9.9033,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,11.1836,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,13.5838,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,15.4331,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,15.5205,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,インドルピー,INRJPY,JP,外貨,1.8176,http://
2011/12/30,1.4508,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,1.5759,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,1.7002,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,1.8983,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,1.8176,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,韓国ウォン,KRWJPY,JP,外貨,0.1022,http://
2011/12/30,0.0663,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0815,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0997,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.1093,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.1022,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,メキシコペソ,MXNJPY,JP,外貨,6.9977,http://
2011/12/30,5.5118,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,6.7373,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,8.0765,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,8.1110,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,6.9977,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,ニュージーランドドル,NZDJPY,JP,外貨,82.2302,http://
2011/12/30,59.7515,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,71.7620,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,86.5813,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,93.3426,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,82.2302,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,ロシアルーブル,RUBJPY,JP,外貨,1.6467,http://
2011/12/30,2.3878,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,2.8365,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,3.2015,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,2.0615,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,1.6467,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,シンガポールドル,SGDJPY,JP,外貨,84.8188,http://
2011/12/30,59.3015,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,70.9527,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,83.3307,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,90.2489,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,84.8188,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,タイバーツ,THBJPY,JP,外貨,3.3377,http://
2011/12/30,2.4334,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,2.8312,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,3.2191,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,3.6374,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,3.3377,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,台湾ドル,TWDJPY,JP,外貨,3.6612,http://
2011/12/30,2.5386,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,2.9831,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,3.5292,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,3.7810,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,3.6612,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,U.S.ドル,USDJPY,JP,外貨,120.2900,http://
2011/12/30,76.9200,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,86.6900,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,105.3300,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,119.6700,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,120.2900,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,南アフリカランド,ZARJPY,JP,外貨,7.7671,http://
2011/12/30,9.4787,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,10.2382,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,10.0410,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,10.3378,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,7.7671,0.0000,0.0000,0.00,0.00,0.00,
