Item,Name,Code,Country,Type,Price
Date,Price,Bought,Sold,Charge,Dividend,Tax,Comment
DEFINE,Australian dollar,AUDUSD,US,Currency,0.7270,http://
2011/12/30,1.0209,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,1.0396,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.8918,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.8163,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.7270,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Brazilian Real,BRLUSD,US,Currency,0.2525,http://
2011/12/30,0.5367,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.4873,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.4234,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.3763,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.2525,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Canadian dollar,CADUSD,US,Currency,0.7194,http://
2011/12/30,0.9787,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,1.0079,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.9416,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.8605,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.7194,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Swiss Franc,CHFUSD,US,Currency,0.9986,http://
2011/12/30,1.0653,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,1.0924,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,1.1207,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,1.0057,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.9986,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Renminbi,CNYUSD,US,Currency,0.1536,http://
2011/12/30,0.1587,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.1605,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.1652,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.1611,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.1536,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Euro,EURUSD,US,Currency,1.0859,http://
2011/12/30,1.2952,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,1.3202,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,1.3756,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,1.2104,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,1.0859,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,British pound,GBPUSD,US,Currency,1.4736,http://
2011/12/30,1.5546,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,1.6244,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,1.6558,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,1.5579,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,1.4736,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Hong Kong Dollar,HKDUSD,US,Currency,0.1290,http://
2011/12/30,0.1287,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.1290,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.1290,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.1289,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.1290,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Indian rupee,INRUSD,US,Currency,0.0151,http://
2011/12/30,0.0188,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0182,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0162,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0158,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0151,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Japanese Yen,JPYUSD,US,Currency,0.0083,http://
2011/12/30,0.0130,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0115,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0095,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0084,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0083,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,South Korean won,KRWUSD,US,Currency,0.0009,http://
2011/12/30,0.0009,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0009,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0010,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0009,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0009,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Mexican Peso,MXNUSD,US,Currency,0.0579,http://
2011/12/30,0.0717,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0776,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0767,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0678,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0579,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,New Zealand dollar,NZDUSD,US,Currency,0.6875,http://
2011/12/30,0.7771,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.8270,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.8224,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.7817,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.6875,0.0000,0.0000,0.00,0.00,0.00,
