Item,Name,Code,Country,Type,Price
Date,Price,Bought,Sold,Charge,Dividend,Tax,Comment
DEFINE,Shanghai Composite Index,000001.SS,CN,Index,3539.1800,http://
2011/12/30,2199.4199,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,2269.1299,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,2115.9800,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,3165.8101,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,3539.1800,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,DAX,^GDAXI,DE,Index,10743.0100,http://
2011/12/30,5898.3501,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,7612.3901,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,9552.1602,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,9805.5498,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,10743.0100,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,CAC 40,^FCHI,FR,Index,4637.0600,http://
2011/12/30,3136.0200,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,3641.0701,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,4295.9502,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,4272.7500,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,4637.0600,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Hang Seng Index,^HSI,HK,Index,21914.4000,http://
2011/12/30,18434.3906,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,22656.9199,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,23306.3906,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,23605.0391,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,21914.4000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,TOPIX,998405,JP,Index,1547.3000,http://
2011/12/30,728.6100,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,859.8000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,1302.2900,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,1407.5100,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,1547.3000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Nikkei 225,998407,JP,Index,19033.7100,http://
2011/12/30,8455.3496,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,10395.1797,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,16291.3096,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,17450.7695,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,19033.7100,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Straits Times Index,^STI,SG,Index,2882.7300,http://
2011/12/30,2646.3501,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,3167.0801,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,3167.4299,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,3365.1499,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,2882.7300,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Taiwan Weighted Index,^TWII,TW,Index,8338.0600,http://
2011/12/30,7072.0801,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,7699.5000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,8611.5098,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,9307.2598,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,8338.0600,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,FTSE 100,^FTSE,UK,Index,6242.3200,http://
2011/12/30,5572.2798,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,5897.8101,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,6749.0898,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,6566.0898,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,6242.3200,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Dow Jones Industrial Average,^DJI,US,Index,17425.0300,http://
2011/12/30,12217.5596,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,13104.1396,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,16576.6602,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,17823.0703,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,17425.0300,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,S&P 500,^GSPC,US,Index,2043.9400,http://
2011/12/30,1257.6000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,1426.1899,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,1848.3600,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,2058.8999,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,2043.9400,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,NASDAQ Composite,^IXIC,US,Index,5007.4100,http://
2011/12/30,2605.1499,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,3019.5100,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,4176.5898,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,4736.0498,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,5007.4100,0.0000,0.0000,0.00,0.00,0.00,
